date,team,elo
2026-06-25,Japan,1887.917451123428
2025-07-18,Jersey,1765.7660750948414
2026-06-27,Jordan,1699.9963268685697
2018-06-09,Kabylia,1483.8550199060426
2026-03-31,Kazakhstan,1474.610797663703
2026-03-30,Kenya,1472.9919577627152
2023-07-16,Kernow,1580.1815894908648
2011-09-05,Kiribati,1380.4230706882845
2026-03-31,Kosovo,1702.4603423064025
2025-12-09,Kuwait,1488.8159391106556
2026-03-28,Kyrgyzstan,1452.6869517685757
2018-06-09,Kárpátalja,1563.081271625964
2025-11-19,Laos,1069.7265311282374
2025-11-16,Latvia,1377.8768072893106
2025-11-26,Lebanon,1456.7289718986815
2025-11-18,Lesotho,1413.1570288284968
2026-03-31,Liberia,1392.437935285082
2026-03-31,Libya,1535.5655760700313
2026-03-29,Liechtenstein,1131.3395996535728
2026-03-29,Lithuania,1380.1730530404698
2019-12-08,Luhansk PR,1475.797166627331
2025-11-17,Luxembourg,1456.514924058153
2026-03-29,Macau,1003.3312175471576
2026-03-31,Madagascar,1488.9412960160744
2013-06-07,Madrid,1500.0
2026-03-31,Malawi,1448.286377962455
2025-11-18,Malaysia,1506.154451306523
2025-11-18,Maldives,1151.687287484281
2026-03-31,Mali,1654.808450582325
2025-11-17,Malta,1389.6818203144028
1942-08-09,Manchukuo,1466.7232361130782
2022-06-18,Mapuche,1485.0
2025-08-16,Marshall Islands,1472.5542452944649
2026-03-29,Martinique,1473.8989029238558
2022-05-25,Matabeleland,1515.6468653538288
2022-06-19,Maule Sur,1515.0
2026-03-27,Mauritania,1450.1638744611464
2025-10-13,Mauritius,1246.6996598397652
2023-08-26,Mayotte,1431.9291986392432
2023-07-13,Menorca,1544.8842514875082
2026-06-24,Mexico,1832.242850371816
2003-07-07,Micronesia,1436.186246105613
2026-03-30,Moldova,1361.9180152724748
2017-04-29,Monaco,1481.362496356286
2024-12-11,Mongolia,1124.5063177708455
2026-03-31,Montenegro,1526.5726429898643
2025-06-10,Montserrat,1314.2187910549362
2026-06-24,Morocco,1887.020012965428
2026-01-05,Mozambique,1490.9850067105283
2025-10-14,Myanmar,1223.7038573166972
2026-03-28,Namibia,1426.9741980439608
2025-11-18,Nepal,1207.8036260962856
2026-06-25,Netherlands,1907.3808043156296
2026-03-26,New Caledonia,1553.1057075222725
2026-06-26,New Zealand,1655.414236810797
2026-03-27,Nicaragua,1461.4326525808067
2026-03-31,Niger,1472.0991279328605
2026-03-31,Nigeria,1753.236761125867
1983-08-22,Niue,1492.3684792054569
2025-06-10,North Korea,1503.7400832543349
2026-03-31,North Macedonia,1594.7347182507012
1970-09-20,North Vietnam,1457.7203512325937
2018-06-09,Northern Cyprus,1621.2123672532928
2026-03-31,Northern Ireland,1599.7608352771376
2024-04-07,Northern Mariana Islands,1150.7942086273083
2026-06-26,Norway,1808.9930253727048
2014-12-30,Occitania,1615.5196139121635
2025-12-08,Oman,1581.2570549268466
2025-07-17,Orkney,1410.255978304017
2019-06-08,Padania,1651.951575335219
2025-11-18,Pakistan,1102.321392532819
1998-08-01,Palau,1479.618122288319
2025-12-11,Palestine,1550.4537657754934
2026-06-27,Panama,1737.7175092681075
2019-12-29,Panjab,1525.9809087595668
2025-11-23,Papua New Guinea,1469.617246915955
2026-06-25,Paraguay,1804.360586440594
2019-06-02,Parishes of Jersey,1502.095536939528
2026-03-31,Peru,1695.4759779760816
2025-11-18,Philippines,1345.8393362122108
2026-03-31,Poland,1770.2083697945309
2026-06-27,Portugal,1920.1246919241696
2013-02-13,Provence,1438.924303781975
2026-03-28,Puerto Rico,1371.6497712533712
2026-06-24,Qatar,1587.3896317946806
2023-08-06,Raetia,1400.1323356414064
2026-03-31,Republic of Ireland,1690.2332865256035
2006-06-03,Republic of St. Pauli,1487.6454494975974
2011-06-27,Rhodes,1578.6103354298696
2016-05-16,Romani people,1478.9278654124903
2026-03-31,Romania,1644.5868069509738
2026-03-31,Russia,1785.8600722708834
2026-03-30,Rwanda,1443.977651181316
2016-11-26,Ryūkyū,1500.0
2023-09-02,Réunion,1577.0462737695243
2017-06-29,Saare County,1348.7987617684355
1956-06-06,Saarland,1457.3008910701176
2023-03-10,Saint Barthélemy,1443.119800777093
2023-07-13,Saint Helena,1420.2804843372055
2026-03-30,Saint Kitts and Nevis,1314.521444387254
2026-03-27,Saint Lucia,1311.384167165763
2026-03-29,Saint Martin,1306.4256696588045
2012-09-28,Saint Pierre and Miquelon,1409.744671322082
2026-03-29,Saint Vincent and the Grenadines,1381.2470690724842
2024-11-18,Samoa,1321.9792356745447
2026-03-31,San Marino,1015.2348613627692
2003-07-03,Sark,1457.1902582260084
2026-06-26,Saudi Arabia,1665.0725356073667
2013-06-29,Saugeais,1500.0
2026-06-24,Scotland,1722.3545047887417
2014-08-10,Sealand,1482.800853171068
2014-08-10,Seborga,1500.0
2026-06-26,Senegal,1850.0032707490047
2026-03-31,Serbia,1766.1479364988622
2025-10-14,Seychelles,1105.924463615852
2025-07-17,Shetland,1498.5308073092003
2026-03-30,Sierra Leone,1452.1650076334531
2006-12-09,Silesia,1493.985932051918
2025-11-18,Singapore,1324.3571666131827
2026-03-30,Sint Maarten,1361.6073214412083
2026-03-31,Slovakia,1665.4320980809898
2026-03-31,Slovenia,1717.7387574275626
2026-03-30,Solomon Islands,1417.44597055594
2025-11-26,Somalia,1128.3326845256724
2019-05-04,Somaliland,1497.2825667990817
2026-06-24,South Africa,1631.6193875469455
2026-06-24,South Korea,1802.350536616076
2019-12-08,South Ossetia,1502.620621192113
2025-11-25,South Sudan,1313.3335160078943
1982-11-25,South Yemen,1481.893957142626
2026-06-26,Spain,2022.4685413400623
2025-11-18,Sri Lanka,1121.3356907175776
2026-01-03,Sudan,1468.8956286795735
2026-03-26,Suriname,1547.2740218997628
2018-05-06,Surrey,1500.0
2026-06-25,Sweden,1753.4668820438476
2026-06-24,Switzerland,1820.074616070974
2025-12-11,Syria,1557.1234455949575
2023-07-02,Székely Land,1456.239732346236
2023-07-16,Sápmi,1468.004689256431
2025-10-13,São Tomé and Príncipe,1212.573746609301
2025-03-21,Tahiti,1522.4321515400056
2025-11-18,Taiwan,1197.3809468023458
2025-11-18,Tajikistan,1440.4564487129842
2023-08-08,Tamil Eelam,1489.236015547065
2026-03-29,Tanzania,1398.9011433645214
2025-11-18,Thailand,1528.5705961446934
2023-08-06,Tibet,1348.3771018705838
2023-08-06,Ticino,1478.1358518285565
2025-11-18,Timor-Leste,1025.422500880395
2026-03-31,Togo,1459.8121194762182
2024-09-09,Tonga,1209.401615372152
2026-03-30,Trinidad and Tobago,1513.7638681949795
2026-06-25,Tunisia,1712.50885999177
2026-06-25,Turkey,1842.2081420191648
2025-11-18,Turkmenistan,1392.296924904139
2025-08-16,Turks and Caicos Islands,1180.0368532110003
2023-11-30,Tuvalu,1307.8879134307506
2023-07-02,Two Sicilies,1460.860152337421
2025-12-30,Uganda,1504.810061350742
2026-03-31,Ukraine,1772.9136308360287
2025-12-15,United Arab Emirates,1629.434701304627
2018-06-09,United Koreans in Japan,1501.815802081514
2026-06-25,United States,1765.5459384110102
2026-03-28,United States Virgin Islands,1132.208343426666
2026-06-26,Uruguay,1848.888963743157
2026-06-27,Uzbekistan,1772.027492028809
2025-11-23,Vanuatu,1436.8477172167652
2019-03-23,Vatican City,1434.0957917114115
2026-03-30,Venezuela,1741.2664485629416
2026-03-26,Vietnam,1506.6234019665717
1975-03-23,Vietnam Republic,1415.8928124320475
2026-03-31,Wales,1708.4029066273583
1995-08-20,Wallis Islands and Futuna,1364.7199365101749
2022-11-13,West Papua,1500.0
2019-06-09,Western Armenia,1503.4337421667624
1980-11-25,Western Australia,1417.9307724808425
2025-07-17,Western Isles,1456.97594340581
2012-06-09,Western Sahara,1504.4741915641296
2025-11-26,Yemen,1319.1850502323075
1989-11-05,Yemen DPR,1388.514676666363
2025-07-17,Ynys Môn,1629.6299461990202
2019-06-01,Yorkshire,1537.649546003195
2022-05-23,Yoruba Nation,1500.0305044911331
1992-03-25,Yugoslavia,1757.411015730621
2026-03-31,Zambia,1521.3060809951455
2025-01-13,Zanzibar,1497.9354081066626
2026-03-28,Zimbabwe,1443.5908478995748
2023-07-13,Åland Islands,1490.772184851416
